Recording SID,Duration,Date,Call SID
RE8a7e0fc0b01be4268abf0c6c5b8ae86f,47,2022-11-01 01:44:52+00:00,CA9799875c8716e0cf923ce0aff87f15d4
REa3a069048df623cd5ccb1f6c3e8144ba,48,2022-11-01 01:43:32+00:00,CAeb7c657c8c3c0994ec9e4c0decca75be
RE4000aa175e8c861f2df8bbd348426dd6,49,2022-11-01 01:42:11+00:00,CAd6eaf024088b3ef69c67c66f2d9f3d7c
RE19781beb4175a95962680d9aec9cf931,48,2022-11-01 01:37:41+00:00,CA42e3ad41076548aefa4807f8e33730de
REf467716e3292774935f46a1e65a9de79,110,2022-11-01 01:36:09+00:00,CA71c4103a04e2f19923393e9c34e00905
RE2101243fc92f17d78f9eeffdf791c8f9,31,2022-11-01 01:27:24+00:00,CAb928e5b1b34f998fd47dbfb4bd03bab2
REf9c2f1a90df3074bd0f7657a7580036f,47,2022-11-01 01:26:25+00:00,CA305f7ce95b0b5268470cd2ae80c1a5d1
REf073c44c5b1d43108ad6df3eb2e8ecaf,1423,2022-11-01 01:33:14+00:00,CAb5a0aa8cbceeda743cd785337aa339c9
REe0c9fe8e52286c6878f741cc603919c2,843,2022-11-01 01:04:32+00:00,CAb52205863e98d6dcb297b1ec6bb4bd39
RE5cbf01e5664c4413968e460e75b6d921,6,2022-11-01 00:47:17+00:00,CA9a411bd5884c3b613acb5318f3a5dd7f
RE9d76fc1edc5270c549ef61adfee4cf57,46,2022-11-01 00:20:17+00:00,CA4605bcc5172fed4cbe4f474a2ae8b517
